Legislative Constraints in the Executive

_Y_treated	_Y_synthetic
.892	.901053
.517	.901053
.297	.900945
.325	.90991
.235	.90991
.211	.901271
.2	.901271
.07	.901271
.038	.901271
.038	.901271
.038	.90339
.038	.898927
.035	.907566
.03	.902006
.03	.902006
.032	.903961
.032	.904393
.185	.885943
.393	.888225
.356	.903309
.316	.905181
.28	.897063

Executive Oversight

_Y_treated	_Y_synthetic
2.245	2.2465
.153	2.2465
-.171	2.2465
-.171	2.248684
-.712	2.301995
-.712	2.301995
-.83	2.366431
-2.168	2.366431
-2.281	2.366431
-2.281	2.366431
-2.281	2.366431
-2.281	2.366879
-2.281	2.366879
-2.724	2.366879
-2.724	2.385569
-2.571	2.416605
-2.571	2.416605
-1.949	2.315253
-1.742	2.316513
-1.768	2.370387
-1.768	2.466155
-1.856	2.490719

Legislature Investigates in practice

_Y_treated	_Y_synthetic
2.245	2.2465
.153	2.2465
-.171	2.2465
-.171	2.248684
-.712	2.301995
-.712	2.301995
-.83	2.366431
-2.168	2.366431
-2.281	2.366431
-2.281	2.366431
-2.281	2.366431
-2.281	2.366879
-2.281	2.366879
-2.724	2.366879
-2.724	2.385569
-2.571	2.416605
-2.571	2.416605
-1.949	2.315253
-1.742	2.316513
-1.768	2.370387
-1.768	2.466155
-1.856	2.490719

Legislature Opposition Parties

_Y_treated	_Y_synthetic
2.526	2.52583
.334	2.52583
-.763	2.52583
-.377	2.52583
-.377	2.52583
-.377	2.52583
-.377	2.52583
-1.143	2.52583
-1.507	2.69509
-1.507	2.69509
-1.507	2.53717
-1.507	2.53717
-1.507	2.53717
-1.507	2.69761
-1.507	2.69761
-1.507	2.69761
-1.507	2.69761
-1.332	2.433352
-.511	2.433352
-.974	2.433352
-1.608	2.433352
-1.608	2.544652

Legislative Questions Official in practice

_Y_treated	_Y_synthetic
1.09	1.608936
.135	1.608936
-.834	1.608936
-.834	1.608936
-.834	1.608936
-.834	1.608936
-.834	1.608936
-.834	1.608936
-1.717	1.61082
-1.717	1.61082
-1.717	1.608948
-1.717	1.608948
-2.104	1.608948
-2.104	1.608236
-2.104	1.50955
-2.104	1.511238
-2.104	1.511238
-.748	1.511238
-.082	1.511238
-.383	1.509222
-.383	1.505268
-.383	1.505966
